produto_id,produto,categoria,preco_tabela,custo_unitario
1,Tempore D489,Linha Essencial,101.92,68.63
2,Alias X871,Linha Performance,259.47,145.57
3,Harum H745,Linha Premium,885.86,479.89
4,Et E806,Linha Essencial,50.25,33.9
5,Corporis V802,Linha Performance,194.16,124.45
6,Quisquam C678,Linha Premium,797.2,410.79
7,Rerum N898,Linha Essencial,58.18,39.91
8,Aliquid A157,Linha Performance,285.53,174.93
9,Consectetur G161,Linha Premium,759.69,385.84
10,Eveniet Q972,Linha Essencial,111.45,79.16
11,Sed A547,Linha Performance,158.93,94.85
12,Ratione G139,Linha Premium,409.49,219.17
13,Totam W469,Linha Essencial,99.58,72.78
14,Quisquam N392,Linha Performance,194.09,115.89
15,Est O717,Linha Premium,429.89,210.31
16,Repudiandae I527,Linha Essencial,58.15,40.62
17,Ab Y666,Linha Performance,207.43,131.08
18,Dolore W729,Linha Premium,501.17,274.46
19,Nisi K907,Linha Essencial,104.38,69.7
20,Hic E359,Linha Performance,256.5,145.03
21,Esse Y816,Linha Premium,435.95,208.83
22,Labore D807,Linha Essencial,93.19,65.45
23,Consectetur M554,Linha Performance,276.15,164.6
24,Consequatur L611,Linha Premium,401.08,195.7
